,unique_id_l,Match_Weight_List_Agg,Match_Probability_List_Agg,Full Address list_agg,Account_Number_List_Agg,Account_Name_List_Agg,Premises_Activity_List_Agg,Local_Authority_List_Agg,unique_id_r_List_Agg,unique_id_r,unique_id_r_1,unique_id_r_2,unique_id_r_3,unique_id_r_4,unique_id_r_5,Custom
565,"76017601695StoreyGroupLimitedAdultGamingCentreKirkleesCouncilTheStoreyGroupLimitedUnit1,10-14VictoriaLaneHUDDERSFIELDHD12JYHD1",MW: 21.96669784310152,MP: 0.9999997560139828,"THE STOREY GROUP LIMITED, UNIT 2 8 MACAULAY STREET, HUDDERSFIELD, HD1 2JY",AN: 695,Storey Group Limited,Adult Gaming Centre,Kirklees Council,"76037603695StoreyGroupLimitedAdultGamingCentreKirkleesCouncilTheStoreyGroupLimitedUnit2,8MacaulayStreetHUDDERSFIELDHD12JYHD1","76037603695StoreyGroupLimitedAdultGamingCentreKirkleesCouncilTheStoreyGroupLimitedUnit2,8MacaulayStreetHUDDERSFIELDHD12JYHD1",,,,,,
566,"7621762126014ThomasJamesBoswellandStaceyLeighBoswellAdultGamingCentreGreatYarmouthBoroughCouncilThomasJamesBoswellandStaceyLeighBoswellTreasureIsland,NewportRoad,HemsbyGREATYARMOUTHNR294NWNR29",MW: 31.80578393073608,MP: 0.999999999733618,"THOMAS JAMES BOSWELL AND STACEY LEIGH BOSWELL, TREASURE ISLAND NEWPORT ROAD HEMSBY, GREAT YARMOUTH, NR29 4NW",AN: 26014,Thomas James Boswell and Stacey Leigh Boswell,Family Entertainment Centre,Great Yarmouth Borough Council,"7622762226014ThomasJamesBoswellandStaceyLeighBoswellFamilyEntertainmentCentreGreatYarmouthBoroughCouncilThomasJamesBoswellandStaceyLeighBoswellTreasureIsland,NewportRoad,HemsbyGREATYARMOUTHNR294NWNR29","7622762226014ThomasJamesBoswellandStaceyLeighBoswellFamilyEntertainmentCentreGreatYarmouthBoroughCouncilThomasJamesBoswellandStaceyLeighBoswellTreasureIsland,NewportRoad,HemsbyGREATYARMOUTHNR294NWNR29",,,,,,
567,762576252582MartynRowlandFamilyEntertainmentCentreKetteringBoroughCouncil(nowNorthNorthamptonshireCouncil)ThunderbowlRockinghamRoadKETTERINGNN169AWNN16,MW: 31.80578393073608,MP: 0.999999999733618,"THUNDERBOWL, ROCKINGHAM ROAD, KETTERING, NN16 9AW",AN: 2582,Martyn Rowland,Adult Gaming Centre,Kettering Borough Council (now North Northamptonshire Council),762676262582MartynRowlandAdultGamingCentreKetteringBoroughCouncil(nowNorthNorthamptonshireCouncil)ThunderbowlRockinghamRoadKETTERINGNN169AWNN16,762676262582MartynRowlandAdultGamingCentreKetteringBoroughCouncil(nowNorthNorthamptonshireCouncil)ThunderbowlRockinghamRoadKETTERINGNN169AWNN16,,,,,,
568,"763376331285TrafalgarLeisureLimitedAdultGamingCentreHullCityCouncilTrafalgarLeisureLimitedThePlayer,Unit1,UnitB2,NorthPointShoppingCentre,GoodhartRoad,BransholmeHULLHU74EEHU7",MW: 30.189017582371704,MP: 0.9999999991830412,"TRAFALGAR LEISURE LIMITED, THE PLAYER UNIT 3 UNIT B2 NORTH POINT SHOPPING CENTRE GOODHART ROAD BRANSHOLME, HULL, HU7 4EE",AN: 1285,Trafalgar Leisure Limited,Adult Gaming Centre,Hull City Council,"763476341285TrafalgarLeisureLimitedAdultGamingCentreHullCityCouncilTrafalgarLeisureLimitedThePlayer,Unit3,UnitB2,NorthPointShoppingCentre,GoodhartRoad,BransholmeHULLHU74EEHU7","763476341285TrafalgarLeisureLimitedAdultGamingCentreHullCityCouncilTrafalgarLeisureLimitedThePlayer,Unit3,UnitB2,NorthPointShoppingCentre,GoodhartRoad,BransholmeHULLHU74EEHU7",,,,,,
569,76387638436TriangleAmusementsLimitedAdultGamingCentreGreatYarmouthBoroughCouncilTriangleAmusementsLimited42-44MarineParadeGREATYARMOUTHNR302EJNR30,MW: 31.80578393073608 / MW: 21.96669784310152,MP: 0.999999999733618 / MP: 0.9999997560139828,"TRIANGLE AMUSEMENTS LIMITED, 42-44 MARINE PARADE, GREAT YARMOUTH, NR30 2EJ / TRIANGLE AMUSEMENTS LIMITED, BIG ARCADE 1 42-44 MARINE PARADE, GREAT YARMOUTH, NR30 2EJ",AN: 436 / AN: 436,Triangle Amusements Limited / Triangle Amusements Limited,Family Entertainment Centre / Adult Gaming Centre,Great Yarmouth Borough Council / Great Yarmouth Borough Council,"76407640436TriangleAmusementsLimitedFamilyEntertainmentCentreGreatYarmouthBoroughCouncilTriangleAmusementsLimited42-44MarineParadeGREATYARMOUTHNR302EJNR30 / 76397639436TriangleAmusementsLimitedAdultGamingCentreGreatYarmouthBoroughCouncilTriangleAmusementsLimitedBigArcade1,42-44MarineParadeGREATYARMOUTHNR302EJNR30",76407640436TriangleAmusementsLimitedFamilyEntertainmentCentreGreatYarmouthBoroughCouncilTriangleAmusementsLimited42-44MarineParadeGREATYARMOUTHNR302EJNR30,"76397639436TriangleAmusementsLimitedAdultGamingCentreGreatYarmouthBoroughCouncilTriangleAmusementsLimitedBigArcade1,42-44MarineParadeGREATYARMOUTHNR302EJNR30",,,,,merge and remove
570,"76417641436TriangleAmusementsLimitedFamilyEntertainmentCentreNorthNorfolkDistrictCouncilTriangleAmusementsLimited29NewStreet,CromerNORFOLKNR279HPNR27",MW: 31.80578393073608,MP: 0.999999999733618,"TRIANGLE AMUSEMENTS LIMITED, 29 NEW STREET CROMER, NORFOLK, NR27 9HP",AN: 436,Triangle Amusements Limited,Adult Gaming Centre,North Norfolk District Council,"76427642436TriangleAmusementsLimitedAdultGamingCentreNorthNorfolkDistrictCouncilTriangleAmusementsLimited29NewStreet,CromerNORFOLKNR279HPNR27","76427642436TriangleAmusementsLimitedAdultGamingCentreNorthNorfolkDistrictCouncilTriangleAmusementsLimited29NewStreet,CromerNORFOLKNR279HPNR27",,,,,,
571,"764876482101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit3,9-19EsplanadeREDCARTS103AATS10",MW: 27.638389221646683 / MW: 27.638389221646683 / MW: 26.241924640536837,MP: 0.9999999952135248 / MP: 0.9999999952135248 / MP: 0.999999987399333,"TYNE TEES ENTERTAINMENTS LIMITED, UNIT 2 9-10 ESPLANADE, REDCAR, TS10 3AA / TYNE TEES ENTERTAINMENTS LIMITED, UNIT 4 9-10 ESPLANADE, REDCAR, TS10 3AA / TYNE TEES ENTERTAINMENTS LIMITED, UNIT 1 9-10 ESPLANADE, REDCAR, TS10 3AA",AN: 2101 / AN: 2101 / AN: 2101,Tyne Tees Entertainments Limited / Tyne Tees Entertainments Limited / Tyne Tees Entertainments Limited,Adult Gaming Centre / Adult Gaming Centre / Family Entertainment Centre,Redcar and Cleveland Borough Council / Redcar and Cleveland Borough Council / Redcar and Cleveland Borough Council,"765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10 / 765176512101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit4,9-10EsplanadeREDCARTS103AATS10 / 765076502101TyneTeesEntertainmentsLimitedFamilyEntertainmentCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit1,9-10EsplanadeREDCARTS103AATS10","765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10","765176512101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit4,9-10EsplanadeREDCARTS103AATS10","765076502101TyneTeesEntertainmentsLimitedFamilyEntertainmentCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit1,9-10EsplanadeREDCARTS103AATS10",,,,merge and remove
572,"765076502101TyneTeesEntertainmentsLimitedFamilyEntertainmentCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit1,9-10EsplanadeREDCARTS103AATS10",MW: 28.79255300126185 / MW: 28.79255300126185,MP: 0.9999999978493096 / MP: 0.9999999978493096,"TYNE TEES ENTERTAINMENTS LIMITED, UNIT 4 9-10 ESPLANADE, REDCAR, TS10 3AA / TYNE TEES ENTERTAINMENTS LIMITED, UNIT 2 9-10 ESPLANADE, REDCAR, TS10 3AA",AN: 2101 / AN: 2101,Tyne Tees Entertainments Limited / Tyne Tees Entertainments Limited,Adult Gaming Centre / Adult Gaming Centre,Redcar and Cleveland Borough Council / Redcar and Cleveland Borough Council,"765176512101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit4,9-10EsplanadeREDCARTS103AATS10 / 765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10","765176512101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit4,9-10EsplanadeREDCARTS103AATS10","765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10",,,,,merge and remove
573,"765176512101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit4,9-10EsplanadeREDCARTS103AATS10",MW: 30.189017582371704,MP: 0.9999999991830412,"TYNE TEES ENTERTAINMENTS LIMITED, UNIT 2 9-10 ESPLANADE, REDCAR, TS10 3AA",AN: 2101,Tyne Tees Entertainments Limited,Adult Gaming Centre,Redcar and Cleveland Borough Council,"765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10","765276522101TyneTeesEntertainmentsLimitedAdultGamingCentreRedcarandClevelandBoroughCouncilTyneTeesEntertainmentsLimitedUnit2,9-10EsplanadeREDCARTS103AATS10",,,,,,
574,76617661614GrosvenorCasinosLimitedCasinoWalsallMetropolitanBoroughCouncilWalsallElectricGrosvenorCasinoBentleyMillWayWALSALLWS20LEWS2,MW: 29.83352179707409,MP: 0.9999999989547624,"WALSALL GROSVENOR CASINO, BENTLEY MILL WAY, WALSALL, WS2 0LE",AN: 614,Grosvenor Casinos Limited,Casino,Walsall Metropolitan Borough Council,76627662614GrosvenorCasinosLimitedCasinoWalsallMetropolitanBoroughCouncilWalsallGrosvenorCasinoBentleyMillWayWALSALLWS20LEWS2,76627662614GrosvenorCasinosLimitedCasinoWalsallMetropolitanBoroughCouncilWalsallGrosvenorCasinoBentleyMillWayWALSALLWS20LEWS2,,,,,,
